Item Id,SKU,Game Title,Brand,Game Type,Character Family,Type,Year,Theme,Min. Number of Players,Age Level,Award,Features,Recommended Age Range,Custom Bundle,Gender,Bundle Description,Modified Item,MPN,Modification Description,California Prop 65 Warning,Country/Region of Manufacture,
"265401806506","307872","Frozen II Marble Frenzy","Disney","Marble Run","Frozen","Marble Run","","Movie & TV","2 players","4-7,8-11 Years","","","5+","","Boys & Girls","","","","","","",
"265294373577","117275","","Maxam","","","","","","","","","","","","","","","Shot-Glass-Tic-Tac-Toe-Game","","","",
